"site","site_reach","year","field_date","sample_type","calothrix","e_diatoms","geitlerinema","gloeotrichia","homoeothrix","leptolyngbya","lyngbya","microcoleus","nodularia","non_e_diatoms","nostoc","oscillatoria","other_coccoids","phormidium_unknown","scytonema","unknown"
"RUS","RUS-1S",2022,"2022-07-20","TAC",0,40,18,0,0,0,0,0,0,34,0,0,8.00000000000001,0,0,0
"RUS","RUS-1S",2022,"2022-08-02","TAC",0,37.5,17.5,0,0,0,0,0,0,32.5,0,0,12.5,0,0,0
"RUS","RUS-1S",2022,"2022-08-17","TAC",0,32.3054331864904,7.34214390602054,0,0,0,0,0.146842878120411,0,36.7107195301028,0,13.215859030837,10.2790014684288,0,0,0
"RUS","RUS-1S",2022,"2022-09-01","TAC",0,23.6869207003089,10.2986611740474,0,0.102986611740474,0,0,5.14933058702369,0,25.7466529351184,0,5.14933058702369,16.4778578784758,9.26879505664265,0,4.11946446961896
"RUS","RUS-1S",2022,"2022-09-15","TAC",0,20.8711433756806,3.62976406533576,0,0,0,0,0.181488203266788,0,43.557168784029,0,16.3339382940109,11.7967332123412,3.62976406533576,0,0
"RUS","RUS-2",2022,"2022-07-20","TAC",0,30.0187617260788,24.390243902439,0,0,0,0,0.562851782363978,0,39.3996247654784,0,0,5.62851782363978,0,0,0
"RUS","RUS-2",2022,"2022-08-02","TAC",0,24.5614035087719,8.77192982456141,0,0,0,0,0,0,28.0701754385965,28.0701754385965,0,10.5263157894737,0,0,0
"RUS","RUS-2",2022,"2022-08-17","TAC",0,28.1081081081082,23.7837837837837,0,0,0,0,0.216216216216216,0,37.8378378378379,0,0.324324324324323,9.72972972972971,0,0,0
"RUS","RUS-2",2022,"2022-09-01","TAC",0,24.9653259361997,12.4826629680998,0,0,0,0,1.52565880721221,0,24.9653259361997,0,4.16088765603329,15.2565880721221,16.6435506241331,0,0
"RUS","RUS-2",2022,"2022-09-15","TAC",0,9.69932104752669,16.4888457807954,0,0,0,0,0.0969932104752669,0,35.8874878758487,0,4.84966052376333,20.368574199806,12.6091173617847,0,0
"RUS","RUS-3",2022,"2022-07-20","TAC",0,24,14,0,0,0,0,0,0,30,0,0,32,0,0,0
"RUS","RUS-3",2022,"2022-08-02","TAC",0,29.6296296296296,14.8148148148148,0,0,0,0,0,0,37.037037037037,0,0,18.5185185185185,0,0,0
"RUS","RUS-3",2022,"2022-08-17","TAC",0,35.0877192982457,14.4927536231884,0,0,0,0,0.0762776506483601,0,37.3760488176963,0.762776506483601,0,12.2044241037376,0,0,0
"RUS","RUS-3",2022,"2022-09-01","TAC",0,20.3644158628081,11.7899249732047,0,0,0,10.7181136120043,0.321543408360129,0,30.010718113612,0,3.21543408360129,13.9335476956056,3.21543408360129,0,6.43086816720258
"RUS","RUS-3",2022,"2022-09-15","TAC",0,10.8153078202995,14.9750415973378,0,0,0,0,0.166389351081531,0,30.7820299500832,0,8.31946755407654,18.3028286189684,16.6389351081531,0,0
"SAL","SAL-3",2022,"2022-09-22","TAC",0,23.9463601532567,18.1992337164751,0,0,0,0,0.287356321839079,0,35.44061302682,0,0.957854406130267,21.0727969348659,0.0957854406130267,0,0
"SFE-M","SFE-M-1S",2022,"2022-07-14","TAC",0,44.8780487804878,4.8780487804878,0,0,0,0,0.195121951219512,0.195121951219512,41.9512195121951,0.0975609756097563,0,7.80487804878051,0,0,0
"SFE-M","SFE-M-1S",2022,"2022-07-28","TAC",0,52.0951302378255,10.1925254813137,0,0,0,0,0.339750849377124,0,33.9750849377124,0,0,3.39750849377124,0,0,0
"SFE-M","SFE-M-1S",2022,"2022-08-10","TAC",0,16.260162601626,17.4216027874565,0,0,0,0,36.0046457607433,0,17.4216027874565,0,0.116144018583043,12.7758420441347,0,0,0
"SFE-M","SFE-M-1S",2022,"2022-09-06","TAC",0,19.6413321947054,2.56191289496157,0,0,0,0,0.085397096498719,0,41.8445772843723,19.6413321947054,0,16.2254483347566,0,0,0
"SFE-M","SFE-M-1S",2022,"2022-09-17","TAC",4.95049504950496,17.8217821782178,13.8613861386139,1.98019801980198,0,0,0,0,0,30.6930693069307,3.96039603960397,4.95049504950496,17.8217821782178,0,3.96039603960397,0
"SFE-M","SFE-M-3",2022,"2022-07-14","TAC",0,32.0069204152249,11.2456747404845,0,0,0,0.173010380622838,1.8166089965398,0.173010380622838,31.1418685121107,0.865051903114188,0,22.4913494809689,0,0,0.0865051903114188
"SFE-M","SFE-M-3",2022,"2022-07-28","TAC",0,32.8738069989396,13.7857900318133,0,0,0,0,6.36267232237538,0,29.6924708377519,1.06044538706256,0.318133616118769,15.9066808059385,0,0,0
"SFE-M","SFE-M-3",2022,"2022-08-10","TAC",0,34.5849802371541,6.91699604743085,0,0,0,0,1.18577075098814,0,36.5612648221344,0,0,20.7509881422925,0,0,0
"SFE-M","SFE-M-3",2022,"2022-08-23","TAC",0,36.2903225806452,13.4408602150538,0,0,0,0,0.403225806451613,0.134408602150538,33.6021505376344,0,0,16.1290322580645,0,0,0
"SFE-M","SFE-M-4",2022,"2022-07-14","TAC",0,40.4984423676013,12.4610591900312,0,0,0,0,0.155763239875389,0.155763239875389,35.8255451713396,0,0,10.9034267912773,0,0,0
"SFE-M","SFE-M-4",2022,"2022-07-28","TAC",0,34.6585117227318,12.2324159021407,0,0,0,0,3.05810397553517,0,31.6004077471968,0,0.101936799184506,18.348623853211,0,0,0
"SFE-M","SFE-M-4",2022,"2022-08-10","TAC",0,25,19.8275862068965,0,0,0.86206896551724,0,15.5172413793103,0,23.2758620689655,0,0,15.5172413793103,0,0,0
